,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
78,4,6.0,0.2944148000000002,"[1, 0, 1, 0]",geometric,500,0.99,0.001,498.52270290488565,500,8192
79,8,0.0,0.4363077999999998,"[1, 1, 1, 1]",geometric,500,0.99,0.001,497.8122801622262,500,8192
80,16,8.0,0.5799342000000003,"[1, 0, 0, 1]",geometric,500,0.99,0.001,497.09420973270755,500,8192
81,32,11.0,0.7169752999999996,"[0, 1, 0, 1]",geometric,500,0.99,0.001,496.41002863623777,500,8192
82,64,0.0,0.8553084000000002,"[0, 0, 1, 1]",geometric,500,0.99,0.001,495.7203522325818,500,8192
83,128,0.0,0.9981551999999994,"[0, 1, 1, 1]",geometric,500,0.99,0.001,495.00917781057535,500,8192
84,256,5.0,1.1424032000000004,"[0, 0, 1, 0]",geometric,500,0.99,0.001,494.2920627273749,500,8192
85,512,9.0,1.3013955,"[0, 1, 1, 0]",geometric,500,0.99,0.001,493.50285130092675,500,8192
86,1024,10.0,1.4860802,"[1, 1, 1, 0]",geometric,500,0.99,0.001,492.58768890770835,500,8192
87,2048,10.0,1.8183673999999996,"[1, 1, 1, 0]",geometric,500,0.99,0.001,490.9453879057077,500,8192
88,4096,10.0,2.538125899999999,"[1, 1, 1, 0]",geometric,500,0.99,0.001,487.40679415849115,500,8192
89,8192,10.0,3.2841556999999995,"[1, 1, 1, 0]",geometric,500,0.99,0.001,483.765957384848,500,8192
90,0,0.0,0.00013069999999970605,"[0, 0, 0, 0]",geometric,1000,0.99,0.001,999.9986864219667,1000,8192
91,1,5.0,0.0018449000000000382,"[0, 0, 1, 0]",geometric,1000,0.99,0.001,999.9814583072831,1000,8192
92,2,0.0,0.16861560000000075,"[0, 0, 0, 0]",geometric,1000,0.99,0.001,998.3067916872302,1000,8192
93,4,6.0,0.33269060000000117,"[1, 0, 1, 0]",geometric,1000,0.99,0.001,996.6619315147926,1000,8192
94,8,0.0,0.5007697000000011,"[1, 1, 1, 1]",geometric,1000,0.99,0.001,994.9797401687852,1000,8192
95,16,8.0,0.664258300000002,"[1, 0, 0, 1]",geometric,1000,0.99,0.001,993.3462160982442,1000,8192
96,32,11.0,0.831002100000001,"[0, 1, 0, 1]",geometric,1000,0.99,0.001,991.6829296083151,1000,8192
97,64,0.0,1.0087677999999993,"[0, 0, 1, 1]",geometric,1000,0.99,0.001,989.9127657022212,1000,8192
98,128,0.0,1.1769219999999994,"[0, 1, 1, 1]",geometric,1000,0.99,0.001,988.2412198646458,1000,8192
99,256,5.0,1.3573290000000018,"[0, 0, 1, 0]",geometric,1000,0.99,0.001,986.4510128158241,1000,8192
100,512,5.0,1.5452327000000015,"[0, 0, 1, 0]",geometric,1000,0.99,0.001,984.589862661022,1000,8192
101,1024,10.0,1.7600938000000017,"[1, 1, 1, 0]",geometric,1000,0.99,0.001,982.4660074783417,1000,8192
102,2048,10.0,2.0696943,"[1, 1, 1, 0]",geometric,1000,0.99,0.001,979.4137282332281,1000,8192
103,4096,10.0,2.7392673,"[1, 1, 1, 0]",geometric,1000,0.99,0.001,972.844955501015,1000,8192
104,8192,10.0,3.4545993,"[1, 1, 1, 0]",geometric,1000,0.99,0.001,965.8759364395615,1000,8192
105,0,0.0,9.449999999944225e-05,"[0, 0, 0, 0]",geometric,2500,0.99,0.001,2499.9976256092823,2500,8192
106,1,5.0,0.002220700000002296,"[0, 0, 1, 0]",geometric,2500,0.99,0.001,2499.944203670581,2500,8192
107,2,0.0,0.19314209999999932,"[0, 0, 0, 0]",geometric,2500,0.99,0.001,2495.151849567778,2500,8192
